<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170317,140000,161.3200000,161.6600000,161.3000000,161.6300000,326230
SBER,5,20170317,140500,161.5900000,161.8000000,161.5000000,161.5100000,178940
SBER,5,20170317,141000,161.5600000,161.7100000,161.5400000,161.6100000,113980
SBER,5,20170317,141500,161.6400000,161.6700000,161.4100000,161.5000000,194320
SBER,5,20170317,142000,161.5500000,161.7400000,161.4700000,161.5900000,125660
SBER,5,20170317,142500,161.6100000,161.6500000,161.5000000,161.5000000,13230
SBER,5,20170317,143000,161.5200000,162.0000000,161.5000000,162.0000000,1106110
SBER,5,20170317,143500,162.0000000,162.0000000,161.9000000,161.9800000,883790
SBER,5,20170317,144000,161.9900000,162.3500000,161.9500000,162.3000000,1282570
SBER,5,20170317,144500,162.3000000,162.6800000,162.3000000,162.5900000,1386700
SBER,5,20170317,145000,162.6000000,162.6300000,162.5500000,162.5500000,812540
SBER,5,20170317,145500,162.5600000,162.6200000,162.3900000,162.3900000,635440
SBER,5,20170317,150000,162.4000000,162.4800000,162.3000000,162.3700000,252220
SBER,5,20170317,150500,162.3600000,162.4900000,162.2200000,162.2200000,198890
SBER,5,20170317,151000,162.2800000,162.3200000,162.2200000,162.2600000,140140
SBER,5,20170317,151500,162.2600000,162.3900000,162.2600000,162.3900000,56120
SBER,5,20170317,152000,162.3900000,162.4300000,162.2200000,162.2600000,136690
SBER,5,20170317,152500,162.2800000,162.8500000,162.2200000,162.7100000,876520
SBER,5,20170317,153000,162.7100000,162.7100000,162.5000000,162.5000000,642310
SBER,5,20170317,153500,162.4600000,162.5200000,162.2200000,162.3000000,285740
SBER,5,20170317,154000,162.2800000,162.3900000,162.2400000,162.2500000,124620
SBER,5,20170317,154500,162.2200000,162.3000000,162.2200000,162.2500000,115910
SBER,5,20170317,155000,162.2800000,162.3400000,162.2200000,162.2400000,298330
SBER,5,20170317,155500,162.2400000,162.2900000,162.1300000,162.1700000,365980
SBER,5,20170317,160000,162.1700000,162.3900000,162.0500000,162.1900000,611980
SBER,5,20170317,160500,162.1000000,162.2000000,162.0700000,162.1500000,147100
SBER,5,20170317,161000,162.1500000,162.3200000,162.0000000,162.1600000,667110
SBER,5,20170317,161500,162.1700000,162.3700000,162.1500000,162.2400000,235890
SBER,5,20170317,162000,162.2400000,162.2700000,162.1000000,162.1000000,49980
SBER,5,20170317,162500,162.1000000,162.2100000,162.0100000,162.0800000,94290
SBER,5,20170317,163000,162.0300000,162.1100000,162.0000000,162.0000000,277930
SBER,5,20170317,163500,162.0000000,162.0200000,161.6500000,161.6600000,442470
SBER,5,20170317,164000,161.7200000,161.8300000,161.6600000,161.7100000,220930
SBER,5,20170317,164500,161.7100000,161.7700000,161.6900000,161.7200000,91620
SBER,5,20170317,165000,161.7200000,161.7600000,161.5500000,161.5500000,261640
SBER,5,20170317,165500,161.5500000,161.5700000,161.1500000,161.2500000,885970
SBER,5,20170317,170000,161.2500000,161.3800000,161.0800000,161.3100000,446810
SBER,5,20170317,170500,161.3100000,161.3600000,161.1500000,161.3100000,157360
SBER,5,20170317,171000,161.2600000,161.7700000,161.2600000,161.6600000,396240
SBER,5,20170317,171500,161.6600000,161.6900000,161.3400000,161.4900000,164790
SBER,5,20170317,172000,161.4900000,161.6400000,161.3900000,161.5200000,106630
SBER,5,20170317,172500,161.5600000,161.6100000,161.3000000,161.3900000,98150
SBER,5,20170317,173000,161.3900000,161.5300000,161.1400000,161.3000000,544800
SBER,5,20170317,173500,161.3000000,161.4400000,161.2500000,161.2600000,251290
SBER,5,20170317,174000,161.2800000,161.3800000,160.9100000,160.9800000,715520
SBER,5,20170317,174500,161.0100000,161.3800000,160.9100000,161.0600000,504690
SBER,5,20170317,175000,161.1400000,161.2700000,160.9400000,161.0000000,249430
SBER,5,20170317,175500,161.0000000,161.1700000,160.9000000,161.0400000,561080
SBER,5,20170317,180000,161.0900000,161.2400000,161.0000000,161.1400000,835130
SBER,5,20170317,180500,161.1500000,161.3100000,161.0100000,161.0200000,617860
